                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1065,                 2.4402,                  1.664,                0.98385,                0.97436,                 0.9945,                 0.7189,                0.90703,                 4.4502,                 1.7885,                0.00028,                0.00028,                0.00028
                      2,                 1.0273,                 1.1657,                 1.4851,                0.92027,                0.88808,                0.87475,                0.42114,                 1.8547,                 2.7601,                 5.0953,             0.00057426,             0.00057426,             0.00057426
                      3,                 1.0519,                 1.0274,                 1.5494,                0.79201,                0.78127,                0.87054,                0.47185,                 1.4954,                  2.707,                 3.2876,             0.00086258,             0.00086258,             0.00086258
                      4,                 1.1475,                0.99689,                 1.5889,                 0.6253,                 0.5135,                0.57663,                0.20883,                 2.6103,                 2.5423,                  5.977,               0.001145,               0.001145,               0.001145
                      5,                 1.0928,                0.99639,                 1.5692,                0.66634,                0.76923,                0.64567,                0.30018,                 1.6626,                  3.278,                 3.0612,              0.0014214,              0.0014214,              0.0014214
                      6,                 1.2261,                 1.0336,                 1.6509,                0.02162,                0.71795,                0.01944,                0.00901,                   1.94,                 57.418,                 2.9954,              0.0016919,              0.0016919,              0.0016919
                      7,                 1.1736,                0.95974,                 1.5819,                0.41923,                0.69231,                0.40979,                0.13134,                 2.2158,                 1.9785,                 3.2936,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.2304,                0.98946,                 1.6559,                 0.6342,                0.76923,                0.68263,                0.34331,                  1.766,                 1.4159,                 2.7769,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.1534,                0.88573,                 1.6382,                0.07179,                0.25641,                0.02965,                0.00719,                 3.6386,                 3.1057,                 4.4345,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.2159,                0.88677,                 1.6562,                0.22278,                0.30769,                0.14921,                0.04783,                 2.8132,                  2.762,                 3.5639,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.1333,                0.87523,                 1.5859,                0.34383,                  0.739,                0.36688,                0.08925,                 1.9363,                 2.4783,                  3.194,               0.001802,               0.001802,               0.001802
                     12,                 1.1916,                 0.9305,                 1.6613,                0.27204,                0.30769,                0.18645,                 0.0598,                 2.1817,                 2.9532,                 3.6754,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.1966,                0.86943,                 1.6321,                0.63332,                0.84153,                0.78754,                0.34992,                   1.67,                 1.8296,                 2.8286,              0.0017624,              0.0017624,              0.0017624
                     14,                  1.133,                0.87995,                 1.5947,                0.75944,                0.80964,                0.84703,                0.44784,                 1.5399,                 1.3188,                 2.5738,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.1721,                0.90129,                  1.607,                0.89685,                0.89186,                 0.9419,                 0.4907,                 1.7044,                 1.1154,                 2.8422,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.1336,                0.86558,                 1.5588,                0.80489,                0.87179,                0.88409,                0.52487,                 1.3536,                0.95165,                 2.3076,               0.001703,               0.001703,               0.001703
                     17,                 1.0732,                0.81783,                  1.562,                0.83841,                0.84615,                0.90662,                0.62016,                  1.273,                 1.0506,                 2.2758,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.1453,                0.82774,                 1.6052,                0.94543,                0.89744,                0.97267,                0.63297,                 1.2078,                0.89628,                 2.1544,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.0837,                0.81458,                 1.5668,                0.91218,                0.92308,                0.95377,                0.57179,                 1.3188,                 1.0032,                 2.2512,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.0847,                0.78245,                 1.5102,                 0.9034,                0.71945,                0.93539,                0.52448,                 1.4113,                0.99687,                 2.3584,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.0794,                0.72946,                 1.5219,                0.57428,                0.92308,                0.60878,                0.35862,                 1.3998,                 1.1554,                   2.41,               0.001604,               0.001604,               0.001604
                     22,                 1.0405,                0.73351,                 1.5402,                0.43735,                0.84615,                0.42927,                0.25933,                 1.4675,                 1.5393,                 2.5962,              0.0015842,              0.0015842,              0.0015842
                     23,                  1.101,                0.75523,                 1.5899,                0.99124,                0.92308,                0.96993,                0.59355,                 1.4089,                0.91424,                 2.6201,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.0256,                0.74907,                 1.5126,                0.79094,                0.77622,                0.80785,                0.46023,                 1.3737,                 1.0671,                 2.1624,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.0785,                0.76189,                 1.5233,                0.72801,                0.84615,                0.86643,                0.52366,                 1.4485,                0.95647,                 2.1622,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.0315,                0.69975,                 1.4955,                0.99362,                0.87179,                 0.9551,                0.64735,                 1.0852,                0.76386,                 1.9455,               0.001505,               0.001505,               0.001505
                     27,                 1.0866,                0.73338,                 1.5216,                0.99729,                      1,                  0.995,                0.68235,                 1.1055,                0.56181,                   1.97,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.0332,                 0.7368,                 1.4984,                0.97093,                      1,                0.99375,                0.68734,                 1.0775,                0.63519,                 1.9965,              0.0014654,              0.0014654,              0.0014654
                     29,                0.98839,                0.65715,                  1.468,                0.98384,                0.97436,                0.99314,                0.66552,                 1.2696,                0.63813,                 2.1418,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.0828,                0.70162,                  1.542,                0.90055,                      1,                0.98588,                0.55979,                 1.5551,                0.76054,                 2.6298,              0.0014258,              0.0014258,              0.0014258
                     31,                 0.9845,                0.64745,                 1.4476,                0.99718,                      1,                  0.995,                0.63717,                 1.2399,                0.63432,                 2.1988,               0.001406,               0.001406,               0.001406
                     32,                0.92831,                0.64809,                 1.4267,                      1,                0.99991,                  0.995,                0.71402,                 1.0617,                0.54967,                 1.9748,              0.0013862,              0.0013862,              0.0013862
                     33,                0.97486,                0.62837,                 1.4566,                0.88675,                0.80328,                0.90978,                0.64665,                 1.0617,                 0.8325,                 1.8453,              0.0013664,              0.0013664,              0.0013664
                     34,                0.99237,                0.64072,                 1.4673,                0.92568,                0.92308,                0.98204,                0.67101,                 1.1297,                0.65226,                 1.9283,              0.0013466,              0.0013466,              0.0013466
                     35,                0.97361,                0.62597,                 1.4521,                0.94794,                 0.9339,                0.98478,                0.68719,                 1.0959,                0.60467,                 2.0012,              0.0013268,              0.0013268,              0.0013268
                     36,                0.95389,                0.63296,                 1.4483,                0.95027,                0.94872,                0.98465,                0.65902,                 1.1516,                0.65286,                 1.9927,               0.001307,               0.001307,               0.001307
                     37,                0.92122,                0.66541,                 1.4366,                0.97005,                0.94872,                0.97733,                0.71308,                 1.0324,                0.69328,                 1.8791,              0.0012872,              0.0012872,              0.0012872
